position,train_through_season,target_season,player_id,player_name,games,targets_p10,targets_p50,targets_p90,receptions_p10,receptions_p50,receptions_p90,receiving_yards_p10,receiving_yards_p50,receiving_yards_p90,receiving_tds_p10,receiving_tds_p50,receiving_tds_p90,games_played_estimate,fantasy_points_p10,fantasy_points_p50,fantasy_points_p90,full_projection_p10,full_projection_p50,full_projection_p90,actual_games_played,actual_fantasy_points,naive_ppg,naive_full_projection,adp
WR,2020,2021,00-0026035,Danny Amendola,152,1.8152401339655237,4.39320185794889,9.426170988042957,0.9733565820210358,2.8256707997604322,6.2012562958130495,4.359905141405035,31.08724314273175,72.91034616274263,0.0,0.0,1.0,10.042713567839195,1.4093470961615393,5.934395114033608,19.492290912087313,14.153669204416262,59.59743032862394,195.7554944110879,7.0,36.5,8.284091299230402,83.19475608799979,
WR,2020,2021,00-0026189,DeSean Jackson,159,1.492409582454961,4.338696015846892,9.397028888866858,0.8972738246942032,2.7684993715317763,5.607596625776847,6.752646263120019,33.79765246386715,89.50686457933266,0.0,0.0,1.0,11.363636363636363,1.572538451006205,6.148264617918492,20.558283083710112,17.869755125070512,69.8666433854374,233.61685322397855,14.0,77.80000153183937,11.731579128064606,133.31339918255233,
WR,2020,2021,00-0027685,Emmanuel Sanders,155,2.628494388540822,5.725749527692933,10.288137658048043,1.784999405996633,4.168753293603266,7.144516047465139,10.042970805027188,47.49158156508995,93.83935209199666,0.0,0.0,1.0,10.042713567839195,2.789296486499352,8.91791145011226,22.528451256664805,28.01210566969324,89.5600303168309,226.2467830977116,14.0,131.7000024318695,12.286046238832697,123.38524325782484,
WR,2020,2021,00-0027691,Andre Roberts,114,1.0,1.788735023912452,4.313743301586875,0.20924936948829712,1.2699053644997114,3.227595942494706,0.0,10.95960725676792,43.787845975804565,0.0,0.0,1.0,10.042713567839195,0.20924936948829712,2.365866090176503,13.606380540075161,2.101431482021918,23.759715483506238,136.64498245899603,5.0,6.399999976158142,2.268750011920929,22.78440652675365,
WR,2020,2021,00-0027793,Antonio Brown,138,2.9543247437742655,7.994983042145297,10.964874279103343,1.1432295405497592,5.212070129699458,7.563325943076988,15.927225155676908,50.34658051627237,101.52854516869377,0.0,0.0,1.0,10.042713567839195,2.7359520561174504,10.246728181326695,23.716180459946365,27.476382834928263,102.90495613256984,238.17480728242617,7.0,121.10000002384186,19.02500009536743,191.0626265858885,
WR,2020,2021,00-0027891,Golden Tate,159,1.8607136481037383,3.5273328893210296,7.7292405771736465,0.9046939224830758,2.7145967269948637,6.1314012589642015,3.4996236851193703,27.09937835789276,74.08470587817044,0.0,0.0,1.0,11.363636363636363,1.2546562909950127,5.42453456278414,19.539871846781246,14.257457852216053,61.64243821345613,222.0439982588778,0.0,0.0,10.94473668148643,124.37200774416398,
WR,2020,2021,00-0027942,A.J. Green,126,2.5389083617403942,5.179085160369441,9.735069948878161,0.9189917239270534,2.8096566433360977,5.994914669506395,5.220189878337274,33.59607832780917,83.43076946081257,0.0,0.0,1.0,10.042713567839195,1.4410107117607809,6.169264476117014,20.337991615587654,14.47165782640161,61.956156057888705,204.24862434046193,15.0,150.5,10.508000030517579,105.52883447733356,
WR,2020,2021,00-0027944,Julio Jones,134,3.4486472347387487,7.822560872300477,10.130792377143202,1.2104180680983008,5.3105669065243,7.83616452213784,19.231191818662612,73.29763844439098,117.19984124985358,0.0,0.0,1.0,11.363636363636363,3.1335372499645624,12.640330750963399,25.556148647123198,35.60837784050639,143.6401221700386,290.4107800809454,9.0,63.60000228881836,18.730000495910645,212.84091472625732,
WR,2020,2021,00-0028002,Randall Cobb,128,1.8152401339655237,4.76128894972002,8.692734540873667,0.9052253628266529,3.0568850675487926,6.5274458359573,5.133356811878972,36.24654361040043,87.12418908987583,0.0,0.0,1.0,10.042713567839195,1.4185610440145502,6.681539428588836,21.23986474494488,14.246202243533057,67.10078667354165,213.30587785312736,11.0,95.60000000149012,10.123529181760901,101.66770386808622,
WR,2020,2021,00-0028237,Chris Hogan,82,1.0,3.703023468740591,8.271211205083594,0.6461553522429755,2.116961237254059,5.545122440494812,0.2893505342193327,25.45466798525506,77.45219447236602,0.0,0.0,1.0,10.042713567839195,0.6750904056649087,4.662428035779565,19.290341887731415,6.779739576489045,46.823429293997286,193.72737820417703,5.0,14.099999904632568,5.433333264456855,54.56540969355288,
WR,2020,2021,00-0029000,Cole Beasley,130,3.5354761541216275,6.790057766734677,10.342253538650072,1.0558354996888772,4.83957488487265,7.447592995292624,12.837483462726318,44.89022909468114,110.4162306285144,0.0,0.0,1.0,11.363636363636363,2.339583845961509,9.328597794340764,24.489216058144066,26.58618006774442,106.00679311750868,278.2865461152735,15.0,150.20000457763672,11.602174365002176,131.84289051138836,
WR,2020,2021,00-0029293,Marvin Jones,109,3.589815002059429,7.1257556387283305,12.35798947310395,1.884999405996633,4.80089726967998,8.24879355847075,14.235175259110191,55.29713758587852,111.38219377999313,0.0,0.0,1.0,10.042713567839195,3.3085169319076524,10.330611028267832,25.387012936470065,33.226487881494684,103.74736753765457,254.9544992639971,16.0,158.4000015258789,14.144736992685418,142.05154210995883,
WR,2020,2021,00-0029608,T.Y. Hilton,133,2.656318397766503,6.493549734079133,10.155331622688374,1.0022656574288347,3.6588277477909017,6.899352644292629,8.663998612189966,43.51332657543674,103.01246930900098,0.0,0.0,1.0,10.042713567839195,1.8686655186478314,8.010160405334577,23.20059957519273,18.766472557877844,80.44374658322187,232.9969761357923,9.0,68.20000076293945,13.494871616363525,135.52513027790204,
WR,2020,2021,00-0029632,Mohamed Sanu,122,1.0,3.3985853720873553,7.202037650479092,0.2467158785830372,2.027766322038101,5.006174338289811,0.9648442042500407,20.030152824093378,61.795264748725806,0.0,0.0,1.0,10.042713567839195,0.3432002990080413,4.030781604447439,17.18570081316239,3.4466622993345246,40.47998510798094,172.59107072917104,8.0,32.70000076293945,8.907894962712337,89.45943760291762,
WR,2020,2021,00-0030035,Adam Thielen,89,3.598332141462304,8.109635530578748,12.070450347681257,1.9824470035676074,4.909496017494307,8.042231317655135,14.857046850905048,54.70003606562004,114.1786729774045,0.0,0.0,1.0,10.042713567839195,3.4681516886581125,10.379499624056312,25.460098615395587,34.829654019011244,104.23834170189214,255.68847780335716,13.0,199.79999847710133,16.160975967965477,162.30005262301006,
WR,2020,2021,00-0030085,Kenny Stills,113,1.0,2.1219783155597542,5.173987771312872,-0.08776013317307546,1.3111305866679461,3.3502925846204032,-4.5048135784038725e-06,14.211830196310864,44.80755741696198,0.0,0.0,1.0,8.79770444763271,-0.0877605836544333,2.7323136062990327,13.831048326316601,-0.7720916771434505,24.038087566464373,121.68147537585853,7.0,18.90000019222498,7.994285726547242,70.33136309209137,
WR,2020,2021,00-0030279,Keenan Allen,99,4.303334354157616,10.123875209049089,13.502055468421052,3.0014357211312874,6.191765631130292,9.858311173783134,25.828279849049128,71.80882409801902,127.81298229466826,0.0,0.0,1.0,8.79770444763271,5.5842637060362,13.372648040932194,28.639609403249963,49.128701643348606,117.64860514633602,251.9628190254358,15.0,244.5999984741211,16.882222673628064,148.5248055017034,
WR,2020,2021,00-0030431,Robert Woods,116,4.03493376627175,7.983222022641606,12.510256842417524,2.06843839175532,5.0180530017552,8.495947069381057,15.619932015194227,54.88990900600536,102.75216724278225,0.0,0.0,1.0,8.79770444763271,3.630431593274743,10.507043902355736,24.77116379365928,31.939464174979513,92.43786687122721,217.92937788051464,9.0,135.20000219345093,14.444680863238396,127.08003307514754,
WR,2020,2021,00-0030525,Tavon Austin,96,1.0,1.2975027808250301,4.114886749163385,0.023982713096271653,1.1104753938295788,2.024482808356084,-0.20088680855031288,4.641596939645502,34.761752206074156,0.0,0.0,1.0,10.042713567839195,0.003894032241240363,1.574635087794129,11.5006580289635,0.03910665042270787,15.813609160585763,115.49781442655052,11.0,53.40000128746033,3.378260949383611,33.92690707207611,
WR,2020,2021,00-0030564,DeAndre Hopkins,126,4.7659691624532465,10.317503685063352,13.713140542578488,3.0014357211312874,6.484164825023073,10.629699489279355,28.76430564032081,74.17251008997712,130.67129896705407,0.0,0.0,1.0,8.79770444763271,5.8778662851633685,13.901415834020785,29.696829385984763,51.71173035957213,122.30054791135645,261.2639279696679,10.0,147.20000076293945,18.987234135891526,167.04407420557652,
