position,train_through_season,target_season,player_id,player_name,games,completions_p10,completions_p50,completions_p90,attempts_p10,attempts_p50,attempts_p90,passing_yards_p10,passing_yards_p50,passing_yards_p90,passing_tds_p10,passing_tds_p50,passing_tds_p90,interceptions_p10,interceptions_p50,interceptions_p90,carries_p10,carries_p50,carries_p90,rushing_yards_p10,rushing_yards_p50,rushing_yards_p90,rushing_tds_p10,rushing_tds_p50,rushing_tds_p90,games_played_estimate,fantasy_points_p10,fantasy_points_p50,fantasy_points_p90,full_projection_p10,full_projection_p50,full_projection_p90,actual_games_played,actual_fantasy_points,naive_ppg,naive_full_projection,adp
QB,2014,2015,00-0007091,Matt Hasselbeck,94,3.5011017441232215,14.056255952982232,22.877050470192838,4.072824308662205,20.675311315953046,40.92177898298903,27.952088031768774,187.51651781965626,272.89060175172415,0.0,0.6205085634021543,2.71530599660343,0.0,0.232482775734,1.3144451794125118,0.0,1.1566667916661424,2.933348474231835,-3.49637488901113,-0.22499753181259963,6.85348825072581,-0.005844731682048671,0.0,0.0,7.145593869731801,0.7333776422773459,9.495229661745608,19.83330652273024,5.240418784855365,67.84905486266499,141.72075350533294,8.0,95.0999984741211,6.561333426833153,46.88462391204533,
QB,2014,2015,00-0010346,Peyton Manning,128,16.02298714458219,27.21425875916475,31.770353350657942,26.020015378060076,37.10565161621822,47.47154168473509,211.78073931424382,294.6042253468037,360.4316467162554,0.9999734386011123,2.1111432612023537,2.794570673920582,0.0,0.15915973056106586,2.1122574531015554,0.0,1.2314606461529563,2.69507978091536,-4.55389791752174,-1.1167179073068407,3.658924830677755,0.0,0.0,0.21992047949518903,7.145593869731801,12.015733535222028,19.798750806828743,23.05644901816834,85.85955188961334,141.473832393623,164.7520207620075,10.0,91.3599990606308,21.82541706661383,155.9555663955356,
QB,2014,2015,00-0019596,Tom Brady,129,15.092492682799703,22.08104738515125,32.521894358010975,26.02914546829383,36.86721156755062,47.16042916400093,175.5950632328646,284.02695225110267,359.52385251670495,0.0,2.08538404160618,3.1876464355986927,0.0,0.8585753071592194,1.6431273929325423,0.0,1.7105195980449053,3.35700297794166,-0.8148562831049044,3.3745970151609868,5.323114836341765,0.0,0.0,0.24396385477046525,7.145593869731801,6.9423169010040935,18.32292334366649,25.841379669454852,49.60697708955033,130.92816872006898,184.6520041514686,16.0,348.7000033855438,18.372083142399788,131.2794446765349,
QB,2014,2015,00-0020245,Michael Vick,79,2.1676265335358074,9.304737796788487,22.546602385247105,7.014280774813951,18.798035414285238,35.64709607631485,19.008736386977347,152.3554331093167,240.3347660488649,0.0,1.0045950560513792,1.7752806588594041,0.0,0.48885661238795747,1.2405138461121719,0.0,3.2627799623939424,5.243052063107167,1.216609179933696,11.876149768911516,37.11012265102358,0.0,0.0,0.19967503659142286,7.145593869731801,0.8820103734724636,10.322499300693421,19.142548069818766,6.302487917724692,73.76038772334572,136.7848741387433,5.0,30.739999771118164,12.089999960019037,86.39022959936975,
QB,2014,2015,00-0020531,Drew Brees,143,20.271865641282467,26.99696732250959,31.294948052544044,30.070914549494773,40.022224736467315,45.6644885396162,229.42256955853372,290.14063154053304,354.25025630745046,0.9999734386011123,2.058612615582048,3.7823879732092456,0.0,0.7873752501105121,2.5728748333421776,0.0,1.587278867772776,2.964164255911063,-0.8591866776297223,2.3811317301903103,8.80060889501468,0.0,0.0,0.05191235006840448,7.145593869731801,13.090877868982826,18.50343839674752,25.345347468362537,93.54209665001139,132.2180559767591,181.10755949615375,15.0,308.20000302791595,21.211249371369682,151.56697347741172,
QB,2014,2015,00-0020679,Shaun Hill,41,10.266867992635751,18.70828011296703,25.522401000580043,16.778796779936243,29.53293398527775,41.24292937249629,119.5319736677197,200.16854886143298,310.12653119989494,0.0,1.0046590084871903,2.0783223333898615,0.0,0.8302960892426088,2.2123012991302344,0.0,1.3606324022048473,2.783685292431887,-1.4990691886761889,0.16824092196815715,7.67886336516182,-0.000671511892988047,0.0,0.0,7.145593869731801,4.627342956483241,10.38160990211768,17.061634319810953,33.065113462993274,74.18276807451905,121.91550960324685,3.0,0.09999996423721313,10.585999532043934,75.64325336115685,
QB,2014,2015,00-0021206,Josh McCown,35,8.52910800265162,18.66110925043553,24.01436327658593,19.39755112859722,28.11740769575777,42.11733785829365,99.64665239364142,204.2440067520244,288.62682609033874,0.0,1.0319371902066574,2.225529287826222,0.0,0.8817151039251936,1.970475459464812,0.9999734386011123,2.640391236541353,4.327031585048723,0.31246447873799477,6.572591632831743,20.2278531266358,0.0,0.0,0.9217446551657424,7.145593869731801,4.017112543619456,11.191337986340393,24.05949251964685,28.704654765709908,79.96875610929055,171.91936225724666,8.0,140.16000080108643,14.263157618673224,101.91873164300982,
QB,2014,2015,00-0021429,Carson Palmer,115,15.701643007090974,22.7617917213745,28.407846680857073,24.933687417984828,35.2227458412235,44.19154688289964,159.37877361665247,245.66052787296832,365.65785356215815,0.0,1.6993787112001215,3.0573329795147575,0.0,0.7069897915790373,2.245294258228634,0.0,0.8703250010149433,3.2636297905222333,-1.85396392069078,0.9986435191303606,5.488638341969194,0.0,0.0,0.0,7.145593869731801,6.18975455259702,15.30982072847418,22.913921378285004,44.22947218618177,109.39776114407796,163.7335761321898,16.0,313.23999643325806,15.111350550844861,107.97957385948531,
QB,2014,2015,00-0021678,Tony Romo,126,15.722150862241675,21.60078878654688,26.903167775853497,22.156059350031295,32.487319374285974,41.94463064922923,173.36210574979205,270.4797240489422,329.05497581880854,0.0,1.7334736611057164,3.4290465375434342,0.0,0.27144545492953065,2.3348677696440903,0.0,0.8591869987439775,3.5440204073147283,-1.5533890197544997,0.8823487853448928,10.791872367952651,0.0,0.0,0.051055206115800944,7.145593869731801,6.779145328016232,17.298427575055985,23.59416811712797,48.44101929789377,123.6075380363196,168.59434305917114,4.0,42.660000681877136,17.70086991009505,126.4832275184953,
QB,2014,2015,00-0022787,Matt Schaub,97,4.026861236995011,10.067460243358344,26.99605812611788,6.448515955266182,25.845713082170416,44.39369852340674,52.43905503639854,127.43368603460505,297.77936334811443,0.0,0.29457105308968107,1.5088536445817333,0.0,0.5057410367464066,1.618511821241302,0.0,0.5590252483468978,3.3894400046475766,-1.136469584253641,1.2294269312333006,7.2169778558238695,0.0,0.0,0.02215988814471453,7.145593869731801,1.9839152430305775,5.387092273373443,15.564222584219582,14.176252598666771,38.49397352429683,111.2156134849407,2.0,26.600000381469727,11.732142448957477,83.8331251620908,
