position,train_through_season,target_season,player_id,player_name,games,targets_p10,targets_p50,targets_p90,receptions_p10,receptions_p50,receptions_p90,receiving_yards_p10,receiving_yards_p50,receiving_yards_p90,receiving_tds_p10,receiving_tds_p50,receiving_tds_p90,games_played_estimate,fantasy_points_p10,fantasy_points_p50,fantasy_points_p90,full_projection_p10,full_projection_p50,full_projection_p90,actual_games_played,actual_fantasy_points,naive_ppg,naive_full_projection,adp
TE,2014,2015,00-0021547,Antonio Gates,133,1.9999734386011123,6.0051127144187415,9.105227612895654,0.9999734386011124,3.892958570266388,6.266356871305144,17.711948272842655,52.39210959380435,78.48043425150738,0.0,0.0,1.1015974493564114,8.092715231788079,2.771168265885378,9.132169529646823,20.72398499259435,22.42627563517836,73.90404745184382,167.71330901291586,11.0,149.0,11.831914911878869,95.75231802858262,
TE,2014,2015,00-0022127,Jason Witten,143,1.9999734386011123,6.024592198695549,9.80480536715882,0.9999734386011124,3.843739207453021,7.261195634646704,14.459937185705696,45.92456319120306,73.38154535483555,0.0,0.0,1.0983443784905411,8.092715231788079,2.4459671571716823,8.436195526573327,21.189416441073504,19.794515669296658,68.27172803624241,171.4799131853763,16.0,166.3000030517578,12.547916730244951,101.5467168500618,
TE,2014,2015,00-0022943,Benjamin Watson,120,1.0,2.133373914853575,4.511994550403775,0.9999734386011124,1.2332201029342156,2.7523977273495475,0.3901810668454832,10.03197020063095,39.71857877609428,0.0,0.0,1.0,8.092715231788079,1.0389915452856606,2.2364171229973104,12.724255604958977,8.4082627042323,18.09868691591201,102.97377714741631,16.0,192.5,4.915909127755599,39.78305267627378,
TE,2014,2015,00-0023465,Heath Miller,133,1.9999734386011123,5.121021316021891,8.837347657500716,0.9999734386011124,3.65164645877142,6.760463350847649,11.130083020943191,37.430059589976295,66.20929605610134,0.0,0.0,1.0,8.092715231788079,2.112981740695432,7.39465241776905,19.38139295645778,17.099759517416008,59.84281625505813,156.84809399199605,15.0,125.70000000298025,10.755555566151935,87.04164835654083,
TE,2014,2015,00-0023752,Daniel Fells,63,1.0,1.5908510579066293,3.082086924887605,0.0,0.9614196918567164,2.56190930581925,-0.0725144341748622,11.190632722895115,31.99110706253369,0.0,0.0,1.0,8.092715231788079,-0.0072514434174862,2.080482964146228,11.761020012072615,-0.0586838665971401,16.83675617342179,95.17858579306449,2.0,12.0,3.961111214425829,32.056145059790474,
TE,2014,2015,00-0024221,Vernon Davis,125,1.0,4.1424423687249465,7.548963048949768,0.9999734386011124,2.2723519403859505,4.9576017280912055,1.4950719417025409,24.919313979490077,55.28683824385208,0.0,0.0,1.0,8.092715231788079,1.1494806327713665,4.764283338334958,16.486285552476414,9.302419425474236,38.55598834069748,133.41881420613362,13.0,77.5,9.379069777422172,75.90214084774763,
TE,2014,2015,00-0024243,Marcedes Lewis,115,1.0,3.5910122884404725,7.150934989533576,0.9999734386011124,1.635054020393194,3.8803671619393736,0.9889150548186308,20.91651473817469,49.8191178112408,0.0,0.0,1.0,8.092715231788079,1.0988649440829754,3.726705494210663,14.862278943063451,8.892801070658251,30.15916631738695,120.27619118161284,15.0,38.60000038146973,8.045454451532075,65.10957178657083,
TE,2014,2015,00-0024268,Anthony Fasano,114,1.0,2.4937900280944456,5.456650973896716,0.9999734386011124,1.8922888392371773,4.039819648773406,0.893343412573951,19.509013680960923,54.097166485946495,0.0,0.0,1.0,8.092715231788079,1.0893077798585074,3.8431902073332695,15.449536297368056,8.815457662166198,31.10184392954473,125.02869771777326,14.0,66.89999961853027,6.071794934761829,49.13730735284076,
TE,2014,2015,00-0024313,Owen Daniels,112,1.9999734386011123,4.834240850576473,8.023187081933157,0.9999734386011124,2.88756844488517,5.0477528191696255,6.48381887565726,32.199920286984295,69.80916953611431,0.0,0.0,1.0,8.092715231788079,1.6483553261668384,6.1075604735836,18.028669772781058,13.33967025546938,49.42674767363681,145.90089047906258,16.0,115.70000076293944,10.328571442195347,83.58618743286564,
TE,2014,2015,00-0024389,Delanie Walker,103,2.5216765386011133,6.133248222772672,9.15286119442777,0.9999734386011124,3.5932453131687097,5.247067013033523,14.14969670511616,37.90731215774857,78.743787280605,0.0,0.9757628989230954,0.9999734386011124,8.092715231788079,2.4149431091127287,13.23855392248214,19.1212863727007,19.54344688301824,107.13584697531904,154.74312547973676,15.0,242.40000319480896,8.944444592793783,72.38484299598676,
TE,2014,2015,00-0025418,Greg Olsen,123,2.5216765386011133,6.856928579831985,11.660464937956132,0.9999734386011124,4.609826195826445,8.358787131219731,20.15737073478048,44.26386669630555,94.32201891303043,0.0,0.0,0.9851269454489208,8.092715231788079,3.0157105120791607,9.036212865457,23.701750695216298,24.40528639576645,73.12749749396326,191.8115188712206,16.0,229.4000015258789,12.389583428700764,100.26537052895584,
TE,2014,2015,00-0025464,Matt Spaeth,43,1.0,1.0000531227977754,2.0514516163494867,0.0,1.0000265613988877,2.049457323623278,0.2706201965422837,4.878974321710274,16.93833122230694,0.0,0.0,0.5447772127774455,8.092715231788079,0.0270620196542283,1.487923993569915,7.011953722518645,0.2190052186587223,12.041345166506195,56.74574469481976,3.0,3.0,3.318181796507402,26.85310036643738,
TE,2014,2015,00-0025516,Scott Chandler,64,1.9999734386011123,4.189243511205207,7.813289425267614,0.9999734386011124,2.609385344201755,5.24235107767824,5.1647626685596455,27.952439713162512,70.68839102094663,0.0,0.0,1.0,8.092715231788079,1.516449705457077,5.404629315518006,18.311190179772904,12.272195629593032,43.73812598386095,148.18724768001647,12.0,72.89999961853027,8.112765723086417,65.65430273914967,
TE,2014,2015,00-0025549,Brent Celek,112,1.0,2.9987818413718763,6.052540197401076,0.9999734386011124,1.8799207003239005,4.200299419455028,1.2926050101344635,14.135577616207383,43.32593594482114,0.0,0.0,1.0,8.092715231788079,1.1292339396145588,3.29347846194464,14.532893013937144,9.1385687033708,26.653183314545355,117.61056465583567,12.0,84.79999923706055,6.842553448169789,55.37483651432769,
TE,2014,2015,00-0026201,Martellus Bennett,98,2.5216765386011133,6.069997178527916,8.643748313907297,0.9999734386011124,3.977149903207939,7.224422097115611,13.171610805136932,37.61888083182471,93.6960345266284,0.0,0.0,1.1510169580705452,8.599221789883268,2.3171345191148056,7.739037986390411,23.50012729820172,19.925553646862724,66.54970408530275,202.08280672772685,11.0,114.9000015258789,11.168750286102297,96.04256082601584,
TE,2014,2015,00-0026225,Craig Stevens,45,1.0,1.0000531227977754,3.162056862223783,0.0,1.0000265613988877,2.584542761591093,0.21230311830588,8.618807355054003,27.103889760989468,0.0,0.0,1.0,8.092715231788079,0.021230311830588,1.861907296904288,11.29493173769004,0.1718108679270102,15.067885541834698,91.4066661156108,10.0,36.10000038146973,3.0285714013235907,24.509365910049187,
TE,2014,2015,00-0026267,Jacob Tamme,61,1.0,2.0335572504651176,5.1254529213730144,0.0,1.212682199014529,2.978908537074962,0.0797154650285738,10.391389277991289,41.69326972325913,0.0,0.0,1.0,8.092715231788079,0.0079715465028573,2.251821126813658,13.148235509400871,0.0645114558045809,18.223347132227083,106.40492577806532,15.0,130.70000457763672,5.737142760413034,46.42906260413727,
TE,2014,2015,00-0026281,Gary Barnidge,40,1.0,2.3216302242015106,4.991768600515576,0.0,1.1393259271658875,3.60181810896859,-0.058289484910028,11.91229782923815,48.37101968700489,0.0,0.0,1.0,10.75,-0.0058289484910028,2.330555710089703,14.43892007766908,-0.0626611962782801,25.053473883464303,155.2183908349426,16.0,237.3000030517578,3.1888888191293785,34.28055480564082,
TE,2014,2015,00-0026298,Kellen Davis,41,1.0,1.0000531227977754,2.098580286550922,0.9999734386011124,1.0000265613988877,1.5985483054497964,0.1036069503653194,8.894495554125525,30.449444703201586,0.0,0.0,1.0,8.599221789883268,1.0103341336376443,1.88947611681144,10.643492775769955,8.688087297039665,16.248024195148957,91.52575499786614,8.0,10.800000071525574,3.4789474449659648,29.916240674610044,
