position,target_season,player_id,player_name,games,completions_p10,completions_p50,completions_p90,attempts_p10,attempts_p50,attempts_p90,passing_yards_p10,passing_yards_p50,passing_yards_p90,passing_tds_p10,passing_tds_p50,passing_tds_p90,interceptions_p10,interceptions_p50,interceptions_p90,carries_p10,carries_p50,carries_p90,rushing_yards_p10,rushing_yards_p50,rushing_yards_p90,rushing_tds_p10,rushing_tds_p50,rushing_tds_p90,games_played_estimate,fantasy_points_p10,fantasy_points_p50,fantasy_points_p90,full_projection_p10,full_projection_p50,full_projection_p90,targets_p10,targets_p50,targets_p90,receptions_p10,receptions_p50,receptions_p90,receiving_yards_p10,receiving_yards_p50,receiving_yards_p90,receiving_tds_p10,receiving_tds_p50,receiving_tds_p90
QB,2024,00-0023459,Aaron Rodgers,226,0.021652852330600096,2.667246784048831,19.077801753166522,0.15667122211058038,3.4061255134957653,35.294935721840204,2.92256204268611,30.72435117380111,230.35186339543478,0.0,2.656139888758746e-05,1.0232340212406015,0.0,0.0,1.0056679715768517,0.0,1.7088877012555923,3.292178024252276,-1.8071117068271534,0.052272088050657244,14.810692845262835,0.0,0.0,0.33055950720938004,13.5,-0.06380868897527096,1.2343075013526605,14.760101005408655,-0.861417301166158,16.66315126826092,199.26136357301684,,,,,,,,,,,,
QB,2024,00-0026158,Joe Flacco,187,13.24618422366015,22.935534221841962,27.108773125056324,21.92944244516925,34.195367500444554,44.2200815463828,155.53725183787088,285.67053151944157,361.86650530211733,0.0,1.9425141505204881,2.5721152564556182,0.0,0.9999734386011123,2.2067490117507202,0.0,0.9671191995079939,3.2271203456784927,-0.47875916498727306,1.3754042269990323,7.569596015270327,0.0,0.0,0.024772111013376192,6.87593984962406,6.173614157016108,17.334471408357295,21.255215482013014,42.449399598430304,119.19078272889283,146.14958314511955,,,,,,,,,,,,
QB,2024,00-0026498,Matthew Stafford,206,14.245957127567259,22.20585758714895,27.359505989232062,23.49585366361769,34.82832240898595,43.317599935116405,155.32147017771996,260.0943451073982,335.98406688245007,0.0,1.1900000000000002,2.9888576038606933,0.0,0.9999734386011123,1.968552095895678,0.0,1.3251205404322786,3.5547454190215846,-1.3956977925061218,1.187602514940444,13.46266100481709,0.0,0.0,0.004879041039713243,6.87593984962406,6.073289027858186,13.282587178587749,22.83322924566941,41.75957004493467,91.33027048735711,156.9999108658998,,,,,,,,,,,,
QB,2024,00-0027973,Andy Dalton,166,3.929679627923135,17.804429427562447,27.705889350052036,4.55259502908942,31.136062019901317,42.469942787208886,23.871415357306166,221.53160796670704,314.1160770324868,0.9999734386011123,1.0,2.4454767305447263,0.0,0.9999734386011123,2.17312520906269,0.0,1.7507848043057337,4.904244016821365,-1.2993011673840211,8.143119735996308,23.7893442362263,0.0,0.0,0.1308980817073775,6.87593984962406,4.824820251958294,11.675629415065687,21.164622499219895,33.17517383771323,80.28092556449302,145.52667124463605,,,,,,,,,,,,
QB,2024,00-0028118,Tyrod Taylor,81,3.9634956049602033,16.46925050450649,28.065206634692967,8.233305447212325,27.45703842655745,43.95348010742975,27.823784058959987,166.0535047194793,303.5016619611291,0.0,1.0,1.7353531515164748,0.0,0.9999734386011123,1.7444444251829985,0.5217031000000001,3.9519476199153107,8.292586056208577,-0.030985177823809808,13.53800874013995,47.743792155131175,0.0,0.0,0.6215588615583288,6.87593984962406,1.1098528445760185,9.995994185590943,24.09632261900816,7.631281401238864,68.73185475731516,165.6848649254358,,,,,,,,,,,,
QB,2024,00-0028986,Case Keenum,75,2.1913268623234914,15.60316192970105,24.243766063703223,8.437663909860492,27.993769587218488,40.790393645526855,26.72372967454143,185.8832395728501,282.37150937949036,0.0,1.0,2.078377931109468,0.0,0.9999734386011123,2.6095197164767954,0.0,0.9905300199509199,3.4926528044838263,-1.0814057888558992,0.9351531219574021,14.12272976021881,0.0,0.0,0.0839139063970702,6.87593984962406,0.9608086080960673,9.528898017907519,16.3050890810682,6.606462196269575,65.52012960433403,112.11281176418697,,,,,,,,,,,,
QB,2024,00-0029263,Russell Wilson,186,12.060346509191614,21.428519810928638,25.60159451131384,18.570093742036306,33.628526825940924,39.534269243521855,126.041226758329,225.11693180640867,309.07745691146204,0.0,1.0,2.622861953482048,0.0,0.0,1.9790906464828757,0.9999734386011123,4.754386799317906,7.590918480791883,2.7373721161563975,20.10567887567136,49.640174611770234,0.0,0.0,1.0,6.87593984962406,5.3153862819488,15.015245159823483,29.860382258597944,36.54827635219682,103.24392254630507,205.3181922969009,,,,,,,,,,,,
QB,2024,00-0029604,Kirk Cousins,148,16.607568383977256,24.230512769598324,30.710681432693605,26.618400750904673,34.74599940640529,47.7186553105002,192.20822321012795,286.8042503347709,335.1443544670985,0.0,1.9049734386011123,3.725688781045174,0.0,0.9999734386011123,2.303972619806557,0.0,1.0079271077675183,3.665383317119817,-1.012777732201547,0.38022911685812566,7.838527828000759,0.0,0.0,2.656139888758746e-05,6.87593984962406,7.587051155184963,17.130139802278876,24.48459621444492,52.168107379072545,117.78581089612054,168.35461081285624,,,,,,,,,,,,
QB,2024,00-0030565,Geno Smith,74,14.924059652448376,22.385166213909134,27.369902096734652,24.44143757504464,32.69166137361385,43.04891118369631,156.22110538262282,236.32511519283503,314.5642426831035,0.0,1.0,2.991586581275269,0.0,0.9999734386011123,2.1807926943617657,0.0,2.0791638221083466,4.713622042915146,-0.7083892476761221,3.398102500702343,22.910188270152304,0.0,0.0,0.3342070452968948,6.87593984962406,6.1780052905373015,11.792867980581411,24.483591742498284,42.4795927683937,81.08705088903534,168.34770412417052,,,,,,,,,,,,
QB,2024,00-0031237,Teddy Bridgewater,78,5.312279777517492e-05,0.32455059289197047,13.132853054241112,0.00010624559555034984,2.12695178919946,25.58358081125766,0.000557789376639337,6.689894510247415,147.28142480497021,0.0,2.656139888758746e-05,0.5499209899179472,0.0,0.0,0.9014977575990049,0.0,1.7967437232226395,3.6737496264879193,-2.4132894918274044,-0.6410154439126677,7.752935474959454,0.0,0.0,2.656139888758746e-05,6.87593984962406,-0.24130663760767487,0.20360048161418018,7.063398352561859,-1.6592099255054034,1.3999446649335923,48.56750220614902,,,,,,,,,,,,
