# Rookies are excluded per ADR-0006: this model only projects Veterans (players with at least one prior season and >=16 career games before the target season). See docs/adr/0006-rookies-excluded-from-v1.md.
position,target_season,player_id,player_name,games,carries_p10,carries_p50,carries_p90,rushing_yards_p10,rushing_yards_p50,rushing_yards_p90,rushing_tds_p10,rushing_tds_p50,rushing_tds_p90,targets_p10,targets_p50,targets_p90,receptions_p10,receptions_p50,receptions_p90,receiving_yards_p10,receiving_yards_p50,receiving_yards_p90,receiving_tds_p10,receiving_tds_p50,receiving_tds_p90,games_played_estimate,fantasy_points_p10,fantasy_points_p50,fantasy_points_p90,full_projection_p10,full_projection_p50,full_projection_p90,completions_p10,completions_p50,completions_p90,attempts_p10,attempts_p50,attempts_p90,passing_yards_p10,passing_yards_p50,passing_yards_p90,passing_tds_p10,passing_tds_p50,passing_tds_p90,interceptions_p10,interceptions_p50,interceptions_p90,adp,model_rank,adp_rank,rank_diff,large_disagreement
RB,2026,00-0032764,Derrick Henry,148,8.924867634047537,16.435539783514837,25.881915573738137,24.913837659349408,74.55135053864497,131.23533836040835,0.0,0.0,1.44625748316572,0.0,1.1324111959274135,3.2072695402219047,0.0,1.5689013436675356,3.014058616384543,0.0,8.197721471139102,29.047564682075567,0.0,0.0,0.0,8.346007604562738,2.491383765934941,9.843808544645944,27.719893819627256,20.79310785637717,82.1565009714747,231.35044461628073,,,,,,,,,,,,,,,,15.4,7.0,8.0,-1.0,False
RB,2026,00-0033280,Christian McCaffrey,110,9.815714893979386,18.128267301565916,23.02254705738753,25.710887357986948,78.75143158627436,128.82935667175846,0.0,0.9999734386011123,1.937109148289164,0.9999734386011123,6.215497809535643,9.416804546770178,0.9999734386011123,4.063148681035264,6.4845550211415715,4.18147391770412,39.44459760733931,57.155044668914115,0.0,0.0,0.9999734386011123,8.346007604562738,3.989209566170219,21.882592232003304,42.70549067655049,33.29397337545107,182.63228117584507,356.42034994307346,,,,,,,,,,,,,,,,4.8,1.0,3.0,-2.0,False
RB,2026,00-0033293,Aaron Jones,121,4.086561503489429,10.664570812338289,19.12162074351833,8.714738181386657,40.775246223847695,95.35954977408977,0.0,0.0,1.0,0.0,2.920399038454245,6.038214401084412,0.0,1.9656692589032045,4.795599140675986,0.0,11.814484316515289,38.314596266806895,0.0,0.0,0.0,8.346007604562738,0.8714738181386658,7.224642312939504,24.163013744765653,7.273327113362629,60.296919684038826,201.6646964629681,,,,,,,,,,,,,,,,92.9,23.0,27.0,-4.0,False
RB,2026,00-0033526,Samaje Perine,109,1.6885340535408393,5.293110992878695,13.242080306380037,1.3772862865091562,21.52189060778476,71.75395217414767,0.0,0.0,1.0,0.0,1.197617486942801,3.7445683387955575,0.0,1.0,3.0370400091389054,0.0,3.3797748457141013,28.447568266746686,0.0,0.0,0.0,8.346007604562738,0.13772862865091562,3.490166545349886,19.05719205322834,1.1494841820865391,29.128956528680607,159.0514697978563,,,,,,,,,,,,,,,,,,,,False
RB,2026,00-0033553,James Conner,106,1.8326546073997183,7.228827578956206,15.929233276126222,4.751915341270176,26.437269901853295,76.8276885830127,0.0,0.0,1.278449129551934,0.0,2.6838460463448497,5.481123738515635,0.0,1.9448925858016486,4.562773407309911,0.0,11.561748013069936,37.527172212356085,0.0,0.0,0.0,8.346007604562738,0.47519153412701765,5.744794377293972,23.668954264158398,3.965952157447923,47.94609755954475,197.54127228071363,,,,,,,,,,,,,,,,,,,,False
RB,2026,00-0033906,Alvin Kamara,124,3.7288890792115543,9.975774505256771,19.516548099215107,7.654738181386663,43.18764648583238,90.24231920161597,0.0,0.0,1.0,0.0,2.8436644606661163,5.7709167233562475,0.0,1.9658536739619648,4.989281069510838,0.0,12.777313104110641,39.733149774872174,0.0,0.0,0.0,3.6666666666666665,0.7654738181386663,7.562349632956267,23.986827967159652,2.8067373331751098,27.728615320839644,87.95170254625205,,,,,,,,,,,,,,,,141.1,38.0,34.0,4.0,False
RB,2026,00-0033955,Jeremy McNichols,61,0.0,2.4914593100245925,8.726667050094187,0.0,8.33447506837411,43.21309223429219,0.0,0.0,2.656139888758746e-05,0.0,1.8911750178753193,4.6155596450962175,0.0,1.0,3.933644504655386,0.0,7.366549675089028,32.99030004441426,0.0,0.0,0.0,8.346007604562738,0.0,2.5701024743463137,11.554143100919358,0.0,21.450094795399842,96.43096618447906,,,,,,,,,,,,,,,,,,,,False
RB,2026,00-0034844,Saquon Barkley,104,8.21983457831497,16.526726260143878,23.304001446547414,23.803709940648755,58.96759328168693,134.3256428096043,0.0,0.0,1.0040391960288428,0.0,3.0028729075556626,5.969691243920501,0.0,2.1414362399474913,5.250457517339137,0.0,11.89125831478398,41.18057165747826,0.0,0.0,0.0,8.765988372093023,2.3803709940648754,9.227321399594583,28.82531414022045,20.866304455240208,80.88659209441124,252.68236857510107,,,,,,,,,,,,,,,,20.2,9.0,10.0,-1.0,False
RB,2026,00-0034975,Justice Hill,81,0.0,1.289225025877341,6.716615629173458,-0.03999999016523362,4.879119967941227,29.997609934527475,0.0,0.0,1.0,0.0,2.005876626150417,5.554863322732212,0.0,1.396211918318958,4.142871111958192,0.0,10.515711315778391,39.24371189423495,0.0,0.0,0.0,8.765988372093023,-0.003999999016523362,2.93569504669092,17.067003294834436,-0.035063944867227324,25.73426864330369,149.609152428992,,,,,,,,,,,,,,,,,,,,False
RB,2026,00-0035250,Devin Singletary,105,1.6885340535408393,5.74082429193246,14.424685364385773,1.3772862865091562,22.088781705590772,70.19651864601616,0.0,0.0,1.0,0.0,0.9809439687645036,3.481827917655806,0.0,0.99,3.1300293582058267,0.0,3.5432467302922785,28.920858953052537,0.0,0.0,0.0,8.765988372093023,0.13772862865091562,3.5532028435883056,19.0417671181127,1.2073275572582443,31.14733481058295,166.9199091414792,,,,,,,,,,,,,,,,,,,,False
RB,2026,00-0035261,Tony Pollard,107,8.218164430739053,15.638049082501405,22.35141249775472,22.153073293611005,58.245456771457576,99.12187106013423,0.0,0.0,1.4897768106773948,0.0,2.1592926250241637,4.707882322223124,0.0,1.795207684962414,4.078701793612145,0.0,9.787436154730182,35.06818687349683,0.0,0.0,0.0,8.765988372093023,2.2153073293611008,8.59849697758119,26.43636845103962,19.41935828979186,75.37432452295371,231.74089844218014,,,,,,,,,,,,,,,,72.7,16.0,23.0,-7.0,False
RB,2026,00-0035537,Ty Johnson,92,0.0,2.0955119849335695,8.299595482241616,0.0,8.12470136074389,34.86919853226432,0.0,0.0,2.656139888758746e-05,0.0,1.8470427110680843,4.545044607957019,0.0,1.0,3.4501691945493027,0.0,7.171628574579288,31.12591014669788,0.0,0.0,0.0,8.765988372093023,0.0,2.529632993532318,10.049839430838848,0.0,22.174733406967167,88.0967755921353,,,,,,,,,,,,,,,,,,,,False
RB,2026,00-0035685,David Montgomery,101,3.019838126211555,9.040637195773153,17.876058818932698,5.892882045053288,35.52840894615513,85.96711446963275,0.0,0.0,1.0,0.0,1.5503706632430831,4.048813001558221,0.0,1.0,3.264444978303978,0.0,6.861134146401743,30.8729668507984,0.0,0.0,0.0,8.765988372093023,0.5892882045053288,5.238954309255687,20.948453110347092,5.1656935485052875,45.924612556861995,183.63389637863852,,,,,,,,,,,,,,,,56.2,30.0,19.0,11.0,False
