position,train_through_season,target_season,player_id,player_name,games,carries_p10,carries_p50,carries_p90,rushing_yards_p10,rushing_yards_p50,rushing_yards_p90,rushing_tds_p10,rushing_tds_p50,rushing_tds_p90,targets_p10,targets_p50,targets_p90,receptions_p10,receptions_p50,receptions_p90,receiving_yards_p10,receiving_yards_p50,receiving_yards_p90,receiving_tds_p10,receiving_tds_p50,receiving_tds_p90,games_played_estimate,fantasy_points_p10,fantasy_points_p50,fantasy_points_p90,full_projection_p10,full_projection_p50,full_projection_p90,actual_games_played,actual_fantasy_points,naive_ppg,naive_full_projection,adp
RB,2020,2021,00-0025394,Adrian Peterson,180,3.3057780935880814,10.168362261211838,19.521526391402162,6.809047005960697,33.97913097469872,84.92552017400665,0.0,0.0,1.0,0.0,1.0502414472209685,3.449684143543369,0.0,0.9984017594545097,2.1223398140745093,0.0,1.7289238152941344,24.262404093861186,0.0,0.0,0.0,8.592417061611375,0.6809047005960698,4.569207238453795,19.041132240861295,5.850617166733055,39.260534233728585,163.609349538775,4.0,26.600000202655792,9.96808518120583,85.64994518258848,
RB,2020,2021,00-0027966,Mark Ingram,131,1.2673059422582014,5.662011690064159,15.495296261252221,2.20764706323904,20.65924300754573,73.13697336545704,0.0,0.0,1.0,0.0,0.9979908475925398,3.094412451915197,0.0,0.9146678592733992,2.6148630190614983,0.0,1.12960511690181,19.099363347743022,0.0,0.0,0.0,8.592417061611375,0.220764706323904,3.0935526717181534,17.838496690381504,1.8969024292191372,26.581094757464513,153.27580331593208,14.0,110.60000228881836,11.889189436629014,102.15687416402086,
RB,2020,2021,00-0028063,Taiwan Jones,31,2.656139888758746e-05,1.8597753240329815,7.720475882062774,-0.02999999299645424,3.0895403333898,30.21967365353459,0.0,0.0,0.07178979876918525,0.0,0.8240526300452901,2.476334459262171,0.0,1.0,1.596568810341257,0.0,0.20142688013701257,11.361321924175655,0.0,0.0,0.0,8.592417061611375,-0.0029999992996454245,1.3290967213526814,6.185407160727393,-0.025777245167095522,11.42015334508252,53.14759802084722,0.0,0.0,1.180000004172325,10.13905216855178,
RB,2020,2021,00-0029615,Lamar Miller,102,2.656139888758746e-05,0.8732871369199459,3.3305255838015397,0.0,0.5545828930616197,18.482937905006988,0.0,0.0,0.9,0.0,1.1552401955652416,3.359455747872101,0.0,0.9671963387595249,2.5785109792422185,0.0,6.9546605292767785,17.68789478228416,0.0,0.0,0.0,8.592417061611375,0.0,1.7181206809933647,11.595594247971334,0.0,14.762809453274741,99.63418185579161,0.0,0.0,11.813333821296693,101.5050910806204,
RB,2020,2021,00-0030107,Theo Riddick,82,2.656139888758746e-05,1.796428301388694,7.425513381457435,-0.057123195257372944,7.713414071614239,29.29312716688885,0.0,0.0,0.00014133199221072338,0.0,2.115963499334021,4.237792419034143,0.0,1.0251125526135205,3.624774889832791,0.0,5.4709319002973436,23.267385056840418,0.0,0.0,0.0,8.592417061611375,-0.005712319525737294,2.343547149804679,8.881674104158982,-0.04908263175432093,20.136734514672433,76.31504810824757,0.0,0.0,7.066666642824808,60.719747030527856,
RB,2020,2021,00-0030288,Rex Burkhead,66,1.2732698787577117,5.7532752630819575,13.396520493398821,2.030528071410614,19.766164644586997,66.84381283425026,0.0,0.0,1.0,0.9999734386011123,3.3403411270855186,6.268366315974592,0.0,2.002191193560969,5.020227252625463,0.0,16.77535059766782,51.267704129763175,0.0,0.0,0.0,8.592417061611375,0.20305280714106144,5.656342717786451,22.831378949026806,1.7447144044869403,48.601655674629555,196.1767300217327,13.0,94.69999980926514,8.46451622439969,72.73065362481819,
RB,2020,2021,00-0030404,Chris Thompson,68,2.656139888758746e-05,0.8465737930360901,3.6833895778481747,-0.0015694249641365404,4.366527202398971,19.17333423788273,0.0,0.0,2.656139888758746e-05,0.9999734386011123,3.7581604789957552,6.464319814113989,0.9999734386011123,2.6957704120727657,5.477613389671122,1.089623071621404,19.588057007930402,49.241143003031155,0.0,0.0,0.9999734386011123,8.592417061611375,1.108778803266839,5.091228833105703,18.31906111376251,9.527089906743031,43.74596149014521,157.40501326659447,0.0,0.0,8.437037145649946,72.49454191973153,
RB,2020,2021,00-0030456,Giovani Bernard,115,2.1589986930447145,6.197827186568758,17.1504744899106,3.568185683212785,24.361423255596947,79.45065702569102,0.0,0.0,1.0,0.9999734386011123,3.193989837152608,6.494784635929139,0.0,2.0006373501640877,5.770249959867276,0.0,14.930959282452124,46.56023757983173,0.0,0.0,0.0,8.921325051759835,0.35681856832127856,5.929875603968995,24.371339420419552,3.183294432497701,52.90234777950808,217.42464091633096,10.0,59.10000038146973,7.418181917884134,66.18001218253154,
RB,2020,2021,00-0030465,Kenjon Barner,42,2.656139888758746e-05,1.8847346697206313,7.541166053652883,-0.02999999299645424,2.4960609623832197,32.818091338003555,0.0,0.0,0.07178979876918525,0.0,0.8240526300452901,2.5289719981668335,0.0,1.0,1.596568810341257,0.0,0.4440067373952048,11.75608020481221,0.0,0.0,0.0,8.592417061611375,-0.0029999992996454245,1.2940067699778424,6.484724757237945,-0.025777245167095522,11.118645848198238,55.719459643945,0.0,0.0,1.2933333645264309,11.112859667708149,
RB,2020,2021,00-0030496,Le'Veon Bell,88,1.2767847554475986,6.4437137137371385,17.062645747175917,2.5876470632390407,25.27749012416073,83.42956878265062,0.0,0.0,1.0,0.0,1.9928597795873033,4.132836447972117,0.0,1.0000715340319042,3.6273201632968872,0.0,7.407621192261673,34.81667897248068,0.0,0.0,0.0,8.921325051759835,0.2587647063239041,4.2685826656741455,21.451944938810016,2.308524057038722,38.08141347078653,191.3797737915784,7.0,27.59999990463257,11.138461681512686,99.3698372373461,
RB,2020,2021,00-0030513,Latavius Murray,103,2.7712855569116246,9.58065004367681,18.015485881694303,4.990094535444002,38.468621967925515,89.94770553554484,0.0,0.0,1.0,0.0,1.8510720783111823,4.221530023734448,0.0,1.0000715340319042,3.513837007797682,0.0,7.994323001115156,32.28289142010058,0.0,0.0,0.0,8.592417061611375,0.49900945354440024,5.646366030935972,21.736896703362227,4.287697342540273,48.51593182031714,186.77248210045366,13.0,82.60000228881836,9.006382805235843,77.38659727911177,
